CaseID;Document;Entities;Annotations;Context
Case1;REGDOC-2-14-1-vol2-Radiation-Protection-Programs-eng.pdf.txt;weather incident;      Packaging and Transport Packaging and Transport, Volume II: <B>Radiation</B> Protection Program
Case2;REGDOC-2-11-1-vol2-Management-of-Uranium-Mine-Waste-eng.pdf.txt;falling hazard; level of <B>hazard</B>. Since all nuclear substances associated with licensed activities will eventually
Case3;REGDOC-2-10-1-Nuclear-Emergency-Preparedness-and-Response-v2-eng.pdf.txt;high temperature; survey teams upon activation of the ERO.  Licensees should also consult REGDOC-2.12.1, <B>High</B>-Security
Case4;REGDOC-2-6-1-Reliability-Programs-for-Nuclear-Power-Plants-eng.pdf.txt;weather incident;. These <B>incidents</B> are reportable events, in accordance with REGDOC-3.1.1, version 2. August 2017
Case5;REGDOC-2-13-2-version2-Import-and-Export-eng.pdf.txt;water damage; reactors and equipment ? non-nuclear material used in reactors (heavy <B>water</B>, deuterium, graphite) ? plants
Case6;REGDOC-2-7-3-Radiation-Protection-Guidelines-for-Safe-Handling-of-Decedents.pdf.txt;self protection; 2018  Version 1.0  June 2018  REGDOC-2.7.3, Radiation <B>Protection</B> Guidelines for Safe Handling
Case7;Pub1750web.pdf;incident;
Case8;REGDOC-2-12-3-Security-of-Nuclear-Substances-Sealed-Sources-ver2.pdf.txt;weather incident; 3(1.1)(b) of the GNSCR, which states that ?the Commission or a <B>designated</B> officer authorized under
Case9;REGDOC-2-3-3-Periodic-Safety-Reviews-eng.pdf.txt;safety systems blackout; and the structures, <B>systems</B> and components (SSCs) in place to ensure plant <B>safety</B> until the next PSR or, where
Case10;REGDOC-2-5-4-Design-of-Uranium-Mines-and-Mills-Ventilation-Systems-eng.pdf.txt;structural analysis; assurance program for the design of the mill; (e) the results of a process-hazard <B>analysis</B>
Case11;REGDOC-2-5-5-design-of-radiography-eng.pdf.txt;wastefulness; monitoring systems ? water: o cold  o hot o distilled or deionized o sewage or <B>waste</B> ? air o HVAC o
Case12;REGDOC1-1-3-licence-to-operate-a-nuclear-power-plant-eng.pdf.txt;suspicious object; <B>Objective</B> and Definition [1]. The applicant shall notify CNSC staff of any conflicts between elements
Case13;Pub1091_web.pdf;security measure;Regular fire exercises should be held to ensure that staff have a proper understandingof their responsibilities in the event of a fire. Records should be maintainedof all exercises and of the lessons to be learned from them. Full consultation andliaison should be maintained with any off-site organizations that have responsibilitiesin relation to fire fighting.
Case14;REGDOC1-1-3-licence-to-operate-a-nuclear-power-plant-eng.pdf.txt;hazardous gas emission; ............................... 11 3.2.5 Nuclear and <B>hazardous</B> substances
