CaseID;Document;Title;PreventiveMeasures;Incident;ReactiveMeasures
Case1;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Fire;
Case2;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;WaterBlackout;
Case3;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;InternalThreat;
Case4;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SevereAccident;
Case5;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;HazardousEmission;
Case6;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;IntentionalDisturbance;
Case7;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SicknessOfFewPersons;
Case8;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Compliance;
Case9;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ElectricalBlackout;
Case10;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ConstructionThreat;
Case11;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;FogMachine;
Case12;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;GasEmission;
Case13;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SafetySystemsBlackout;
Case14;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;PrivacyProtection;
Case15;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;FallingHazard;
Case16;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Delay;
Case17;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ObjectThrowing;
Case18;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SicknessOfManyPersons;
Case19;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;BeyondDesignBasisAccident;
Case20;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SevereExceedingFailure;
Case21;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ExcessiveNumberOfInjuries;
Case22;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SuspiciousObject;
Case23;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;LowTemperature;
Case24;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;InformationBlackout;
Case25;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;StructuralCollapse;
Case26;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;HighTemperature;
Case27;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;AnticipatedIncident;
Case28;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;DivergenceFromProcedure;
Case29;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;HumanStampede;
Case30;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;MissingObjects;
Case31;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;WaterNearness;
Case32;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;HumanCongestion;
Case33;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;FireAlarm;
Case34;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ProtectionOfMinors;
Case35;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;DeathOfManyPersons;
Case36;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SafetyAtWork;
Case37;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Flood;
Case38;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;DesignBasisAccident;
Case39;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;DamageToPersons;
Case40;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Duplication;
Case41;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SelfProtection;
Case42;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Radiation;
Case43;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;PortableBuilding;
Case44;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ExceedingSafetyLimit;
Case45;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Temperature;
Case46;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;StructuralAnalysis;
Case47;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;DataProtection;
Case48;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;MalfunctionOfControlSystem;
Case49;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ExceedingParameters;
Case50;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;WaterDamage;
Case51;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;AccessRestrictedAreas;
Case52;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;Wastefulness;
Case53;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;FailureOfSafetySystem;
Case54;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SecurityRegulationsDisregard;
Case55;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ReligiousIntentionalDisturbance;
Case56;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;AffectedSafetySystems;
Case57;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;PoliticalIntentionalDisturbance;
Case58;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;SoundVolume;
Case59;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;TechnicalThreat;
Case60;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;LiquidEmission;
Case61;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;ExternalThreat;
Case62;REGDOC-2-6-3-Fitness-for-Service-Aging-Management-eng.pdf.txt;tempTitle;;TrafficAccident;
Case63;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;Fire;
Case64;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;WaterBlackout;
Case65;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;InternalThreat;
Case66;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SevereAccident;
Case67;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;WeatherIncident;
Case68;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SicknessOfFewPersons;
Case69;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;Compliance;
Case70;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;ElectricalBlackout;
Case71;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;ConstructionThreat;
Case72;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;GasEmission;
Case73;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;GasExplosion;
Case74;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SafetySystemsBlackout;
Case75;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;PrivacyProtection;
Case76;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;FallingHazard;
Case77;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;ObjectThrowing;
Case78;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SicknessOfManyPersons;
Case79;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;BeyondDesignBasisAccident;
Case80;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SevereExceedingFailure;
Case81;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;ExcessiveNumberOfInjuries;
Case82;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SuspiciousObject;
Case83;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;LowTemperature;
Case84;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;InformationBlackout;
Case85;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;HighTemperature;
Case86;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;AnticipatedIncident;
Case87;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;TrafficNearness;
Case88;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;DivergenceFromProcedure;
Case89;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;HumanStampede;
Case90;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;MissingObjects;
Case91;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;WaterNearness;
Case92;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;HumanCongestion;
Case93;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;FireAlarm;
Case94;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;ProtectionOfMinors;
Case95;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;DeathOfManyPersons;
Case96;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;SafetyAtWork;
Case97;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;ParticipantThreat;
Case98;REGDOC-2-7-2-Dosimetry-vol-II-technical-and-management-system-eng-draft.pdf.txt;tempTitle;;OffensiveUrination;
